e1,alpha1,e2,alpha2,e3,alpha3,e4,alpha4,e5,alpha5,e6,alpha6,e7,alpha7
2.466,2078.31786,2.4382,2086.79643,2.3907,2070.83929,2.3419,2085.82519,2.2844,2030.77699,2.2279,2010.7452,2.1827,2048.80878
2.4646,2052.48824,2.4368,2059.39412,2.3893,2046.58237,2.3405,2063.02479,2.283,2008.10748,2.2265,1986.44253,2.1813,2027.77244
2.4632,2033.37566,2.4354,2042.47533,2.3879,2025.27599,2.3391,2035.88315,2.2816,1983.75993,2.2251,1959.05258,2.1799,2006.46728
2.4618,2002.74759,2.434,2012.19879,2.3865,1994.29638,2.3377,2007.96797,2.2802,1964.44796,2.2237,1941.21866,2.1785,1985.67726
2.4604,1966.88966,2.4326,1973.60733,2.3851,1961.17199,2.3363,1988.6663,2.2788,1945.68638,2.2223,1924.83307,2.1771,1964.53969
2.459,1929.49129,2.4312,1934.72065,2.3837,1925.26194,2.3349,1961.46622,2.2774,1926.14127,2.2209,1907.19125,2.1757,1943.0913
2.4576,1901.34964,2.4298,1907.11232,2.3823,1896.58697,2.3335,1932.18995,2.276,1899.81143,2.2195,1875.6728,2.1743,1921.95007
2.4562,1875.20908,2.4284,1883.11704,2.3809,1868.30111,2.3321,1901.52808,2.2746,1870.7696,2.2181,1848.44526,2.1729,1891.09393
2.4548,1846.01829,2.427,1855.22164,2.3795,1837.81493,2.3307,1872.892,2.2732,1844.75,2.2167,1817.28604,2.1715,1870.21396
2.4534,1813.92261,2.4256,1827.29881,2.3781,1801.54642,2.3293,1840.62592,2.2718,1818.0394,2.2153,1784.90577,2.1701,1849.17303
2.452,1786.08695,2.4242,1796.75597,2.3767,1776.41792,2.3279,1818.69935,2.2704,1792.22369,2.2139,1754.40412,2.1687,1828.04325
2.4506,1760.33298,2.4228,1768.91649,2.3753,1752.74948,2.3265,1795.82812,2.269,1768.14265,2.2125,1727.55434,2.1673,1806.73096
2.4492,1736.2612,2.4214,1743.3431,2.3739,1730.1793,2.3251,1773.69101,2.2676,1745.76326,2.2111,1704.16681,2.1659,1785.3597
2.4478,1711.14294,2.42,1717.95897,2.3725,1705.32692,2.3237,1750.45039,2.2662,1723.98899,2.2097,1681.71028,2.1645,1764.2677
2.4463,1684.9008,2.4185,1692.4879,2.371,1678.3137,2.3222,1725.54794,2.2647,1698.59393,2.2082,1659.09209,2.163,1736.09577
2.4449,1664.39416,2.4171,1672.73458,2.3696,1657.05373,2.3208,1699.97958,2.2633,1671.55798,2.2068,1629.13974,2.1616,1711.97622
2.4434,1644.92635,2.4156,1652.78818,2.3681,1638.06453,2.3193,1676.24663,2.2618,1649.53579,2.2053,1601.29517,2.1601,1695.7764
2.4419,1623.12778,2.4141,1630.72639,2.3666,1616.52918,2.3178,1653.99344,2.2603,1625.2718,2.2038,1576.81541,2.1586,1671.72819
2.4404,1601.32224,2.4126,1608.42362,2.3651,1595.22086,2.3163,1630.09873,2.2588,1599.54391,2.2023,1546.38169,2.1571,1650.70613
2.439,1592.76022,2.4112,1602.00511,2.3637,1584.51534,2.3149,1615.19527,2.2574,1585.66758,2.2009,1526.89531,2.1557,1642.43986
2.4375,1575.12707,2.4097,1589.62604,2.3622,1561.62811,2.3134,1587.30754,2.2559,1556.63892,2.1994,1500.82884,2.1542,1610.449
2.4361,1556.97301,2.4083,1573.66151,2.3608,1541.28452,2.312,1561.68608,2.2545,1528.28711,2.198,1476.08465,2.1528,1578.48956
2.4346,1521.31122,2.4068,1532.31811,2.3593,1511.30433,2.3105,1538.59894,2.253,1507.17017,2.1965,1456.81002,2.1513,1555.53032
2.4331,1505.71792,2.4053,1517.15896,2.3578,1495.27688,2.309,1519.54245,2.2515,1486.21606,2.195,1433.98878,2.1498,1536.44334
2.4317,1485.33437,2.4039,1498.17968,2.3564,1473.48905,2.3076,1493.3906,2.2501,1458.45075,2.1936,1406.38642,2.1484,1508.51508
2.4302,1472.08147,2.4024,1487.27823,2.3549,1457.8847,2.3061,1469.75216,2.2486,1434.7092,2.1921,1381.89652,2.1469,1485.52188
2.4288,1446.1556,2.401,1459.5903,2.3535,1433.7209,2.3047,1445.84879,2.2472,1411.02849,2.1907,1359.55117,2.1455,1460.50581
2.4274,1413.32864,2.3996,1422.75182,2.3521,1404.90545,2.3033,1421.60072,2.2458,1387.8969,2.1893,1335.36851,2.1441,1438.42528
2.4259,1386.27121,2.3981,1393.78561,2.3506,1379.75682,2.3018,1395.39235,2.2443,1363.14793,2.1878,1312.86263,2.1426,1411.43324
2.4244,1359.19766,2.3966,1364.57383,2.3491,1354.82148,2.3003,1372.52076,2.2428,1341.14895,2.1863,1292.88457,2.1411,1387.41334
2.423,1332.89076,2.3952,1336.69538,2.3477,1330.08615,2.2989,1347.21497,2.2414,1314.61271,2.1849,1268.79241,2.1397,1358.43301
2.4216,1313.00871,2.3938,1317.01685,2.3463,1310.00056,2.2975,1323.50089,2.24,1291.07061,2.1835,1243.72883,2.1383,1336.41239
2.4201,1296.99754,2.3923,1303.54877,2.3448,1291.44631,2.296,1299.4547,2.2385,1266.57438,2.182,1219.69585,2.1368,1311.45291
2.4187,1289.41815,2.3909,1301.42157,2.3434,1278.41472,2.2946,1277.12851,2.2371,1242.97863,2.1806,1196.52193,2.1354,1287.43534
2.4173,1271.65905,2.3895,1284.94202,2.342,1259.37607,2.2932,1254.31748,2.2357,1220.34485,2.1792,1174.25391,2.134,1264.4358
